Source,Path,Path_Length,Avg_Temperature,Max_Temperature,Avg_Congestion,Max_Congestion,Weighted_Score
0,0->1->2->3->4->5,6,34.30892008782272,41.0186160690403,31.078032016602663,44.536248377034106,32.04729843796868
0,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15,16,34.45263891434098,41.44178172798227,39.09830565010965,59.36023324946789,37.704605629379046
10,10->9->8->7->6->5,6,33.429700604348405,37.66571992347815,36.86702371239058,46.19165090431261,35.83582677997793
10,10->9->8->7->6->5->4->3->2->1->0->19->18->17->16->15,16,35.5447717464353,44.07696611344534,36.8981383135281,59.01720454881031,36.49212834340026
