Source,Path,Path_Length,Avg_Temperature,Max_Temperature,Avg_Congestion,Max_Congestion,Weighted_Score
0,0->1->2->3->4->5,6,34.30892008782272,41.0186160690403,31.078032016602663,44.536248377034106,32.04729843796868
0,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15,16,34.45263891434098,41.44178172798227,39.09830565010965,59.36023324946789,37.704605629379046
10,10->11->12->13->14->15->16->17->18->19->0->1->2->3->4->5,16,35.52902997587863,44.07696611344534,41.05908414984314,59.36023324946789,39.400067897653784
10,10->11->12->13->14->15,6,34.12471484681814,41.44178172798227,49.34986122133571,59.36023324946789,44.78231730898044
